;hour;nanmean_demand_bikes;nanmedian_demand_bikes;nanstd_demand_bikes;count_demand_bikes;nanmean_demand_locks;nanmedian_demand_locks;nanstd_demand_locks;count_demand_locks;station_id;capacity;probability_pst;fill_deg_pst;opt_no_bikes;valid_date
0;0;0.0;0.0;0.0;32;0.0;0.0;0.0;34;116;25;0.0;48.0;12;2019-08-01 08:17:34.639365
1;5;3.9696969696969697;4.0;1.9118846801789668;33;5.90895090031098;5.0;4.2583223615748835;33;116;25;1.821;32.0;8;2019-08-01 08:17:34.639365
2;6;3.613659022931206;3.0;2.168158052777882;34;5.727084741861363;6.0;3.170993509411913;32;116;25;0.283;36.0;9;2019-08-01 08:17:34.639365
3;7;3.6581920903954805;4.0;2.0774389947673058;33;5.6748820516433485;6.0;3.1782678827072828;31;116;25;0.805;36.0;9;2019-08-01 08:17:34.639365
4;8;4.152012711864407;4.0;2.136211407723889;32;7.38587575742003;7.0;3.6920930299166477;33;116;25;0.963;36.0;9;2019-08-01 08:17:34.639365
5;9;4.866666666666666;4.0;2.596195270979722;30;8.3609594934767;8.0;4.381898444496809;30;116;25;6.169;32.0;8;2019-08-01 08:17:34.639365
6;10;6.878787878787879;6.0;3.515657617693806;33;10.743414514942517;9.0;5.745501036856675;33;116;25;19.674;36.0;9;2019-08-01 08:17:34.639365
7;11;8.9375;8.0;4.2039727754558776;32;15.262815745474787;15.099211933577259;6.664130150217844;32;116;25;50.0;32.0;8;2019-08-01 08:17:34.639365
8;12;10.487686779812908;10.5;3.81562030951665;28;17.362556206015928;18.201317603799602;5.725049186787551;31;116;25;65.288;36.0;9;2019-08-01 08:17:34.639365
9;13;11.89302378051532;11.5;4.7342578930320105;30;19.47602436777686;17.763862591290234;8.39366166848904;32;116;25;70.127;36.0;9;2019-08-01 08:17:34.639365
10;14;11.423311877511841;10.0;4.717601635804126;32;14.39012097624829;13.0;6.289334373715664;33;116;25;50.0;40.0;10;2019-08-01 08:17:34.639365
11;15;9.06029203956665;8.0;4.588629020304122;33;10.22600423523526;8.365608055770721;5.972358535725735;33;116;25;25.662;44.0;11;2019-08-01 08:17:34.639365
