,hour,nanmean_demand_bikes,nanmedian_demand_bikes,nanstd_demand_bikes,count_demand_bikes,nanmean_demand_locks,nanmedian_demand_locks,nanstd_demand_locks,count_demand_locks,station_id,capacity,probability_pst,fill_deg_pst,opt_no_bikes,valid_date
0,0,0.0,0.0,0.0,4,0.0,0.0,0.0,6,1017,13,0.0,46.154,6,2019-08-01 11:31:31.868114
1,5,0.0,0.0,0.0,5,0.6,1.0,0.5477225575051662,5,1017,13,50.0,0.0,0,2019-08-01 11:31:31.868114
2,6,0.0,0.0,0.0,5,2.0,2.0,0.8944271909999159,6,1017,13,50.0,0.0,0,2019-08-01 11:31:31.868114
3,7,0.0,0.0,0.0,5,2.6666666666666665,3.0,0.5163977794943222,6,1017,13,50.0,0.0,0,2019-08-01 11:31:31.868114
4,8,0.0,0.0,0.0,5,3.1689189189189193,3.5,1.9377784679359509,6,1017,13,50.0,0.0,0,2019-08-01 11:31:31.868114
5,9,0.0,0.0,0.0,5,2.7551020408163267,3.0,1.7775967097387328,6,1017,13,50.0,0.0,0,2019-08-01 11:31:31.868114
6,10,2.1666666666666665,1.0,2.7868739954771304,6,3.39779223339247,3.5,1.8719330452305563,6,1017,13,3.64,46.154,6,2019-08-01 11:31:31.868114
7,11,1.2,1.0,1.3038404810405297,5,3.730935542265263,3.065997130559541,2.4763621283529833,6,1017,13,1.07,30.769,4,2019-08-01 11:31:31.868114
8,12,3.0,2.5,3.4641016151377544,6,3.2118226699631918,3.565997130559541,2.348926128812243,6,1017,13,15.616,46.154,6,2019-08-01 11:31:31.868114
9,13,2.3333333333333335,2.0,1.9663841605003503,6,1.8197991391678623,2.0,1.327161424643788,5,1017,13,0.55,53.846,7,2019-08-01 11:31:31.868114
10,14,1.6666666666666667,1.5,1.632993161855452,6,1.6,1.0,1.3416407864998738,5,1017,13,0.038,53.846,7,2019-08-01 11:31:31.868114
11,15,2.0,2.0,1.4142135623730951,6,2.565351894818252,2.1960556844547563,1.700105408376877,6,1017,13,1.695,38.462,5,2019-08-01 11:31:31.868114
12,16,2.8333333333333335,3.0,1.7224014243685084,6,2.7662337662337664,2.7987012987012987,0.7528884055798281,6,1017,13,0.185,61.538,8,2019-08-01 11:31:31.868114
13,17,3.6666666666666665,3.5,2.1602468994692865,6,1.8,1.0,1.9235384061671346,5,1017,13,5.26,53.846,7,2019-08-01 11:31:31.868114
14,18,3.0,3.0,1.8973665961010275,6,1.5714285714285714,1.0,1.7285123956861912,6,1017,13,1.751,53.846,7,2019-08-01 11:31:31.868114
15,19,2.3333333333333335,2.0,2.422120283277993,6,0.8636363636363636,0.5,1.0281171107361406,6,1017,13,0.193,69.231,9,2019-08-01 11:31:31.868114
16,20,2.25,2.0,0.5,4,0.3333333333333333,0.0,0.5163977794943223,6,1017,13,0.0,53.846,7,2019-08-01 11:31:31.868114
17,21,2.6707373807862296,2.5,2.0711258025568795,6,0.0,0.0,0.0,5,1017,13,0.0,92.308,12,2019-08-01 11:31:31.868114
18,22,1.8,2.0,1.7888543819998317,5,0.0,0.0,0.0,5,1017,13,0.0,92.308,12,2019-08-01 11:31:31.868114
19,23,1.029971181556196,0.0,1.797018425139498,5,0.0,0.0,0.0,6,1017,13,0.0,92.308,12,2019-08-01 11:31:31.868114
